Key_1_2,savings_status,purpose,credit_amount,duration,checking_status
k598,no known savings,repairs,996.0,12.0,no checking
k803,500<=X<1000,radio/tv,1750.0,6.0,no checking
k189,<100,radio/tv,6999.0,48.0,<0
k973,100<=X<500,new car,1995.0,12.0,0<=X<200
k513,<100,education,1199.0,9.0,0<=X<200
k724,<100,radio/tv,1331.0,12.0,0<=X<200
k90,100<=X<500,new car,2278.0,18.0,0<=X<200
k898,no known savings,new car,5003.0,21.0,no checking
k856,<100,furniture/equipment,3552.0,24.0,<0
k919,<100,furniture/equipment,1928.0,18.0,0<=X<200
k878,no known savings,used car,2964.0,24.0,<0
k662,<100,radio/tv,1546.0,24.0,<0
k357,<100,radio/tv,683.0,6.0,>=200
k216,no known savings,new car,12389.0,36.0,0<=X<200
k574,no known savings,business,4712.0,24.0,0<=X<200
k786,100<=X<500,radio/tv,1553.0,24.0,0<=X<200
k173,<100,new car,1372.0,12.0,<0
k988,>=1000,radio/tv,2578.0,24.0,no checking
k257,no known savings,radio/tv,3979.0,48.0,0<=X<200
k789,<100,radio/tv,6758.0,48.0,<0
k376,<100,furniture/equipment,3234.0,24.0,<0
k115,<100,radio/tv,5954.0,30.0,no checking
k511,no known savings,used car,5433.0,24.0,no checking
k333,<100,business,806.0,15.0,<0
k893,<100,radio/tv,1082.0,9.0,0<=X<200
k907,<100,furniture/equipment,2788.0,15.0,no checking
k113,<100,radio/tv,2930.0,12.0,0<=X<200
k411,no known savings,education,1927.0,24.0,no checking
k787,<100,new car,2820.0,36.0,0<=X<200
k547,<100,retraining,937.0,24.0,no checking
k41,<100,new car,1056.0,18.0,0<=X<200
k133,<100,new car,3124.0,12.0,0<=X<200
k350,<100,furniture/equipment,1388.0,9.0,no checking
k2,<100,repairs,2384.0,36.0,0<=X<200
k180,no known savings,new car,2133.0,12.0,no checking
k603,<100,furniture/equipment,2039.0,18.0,<0
k918,<100,new car,2799.0,9.0,<0
k858,<100,furniture/equipment,1289.0,12.0,<0
k686,<100,domestic appliance,1217.0,18.0,<0
k68,<100,furniture/equipment,2246.0,12.0,<0
k707,<100,radio/tv,385.0,12.0,<0
k207,no known savings,new car,1965.0,24.0,0<=X<200
k339,>=1000,business,1572.0,21.0,no checking
k182,<100,new car,2718.0,24.0,0<=X<200
k313,no known savings,other,1358.0,24.0,<0
k771,100<=X<500,new car,931.0,6.0,0<=X<200
k938,<100,new car,1442.0,24.0,<0
k962,<100,business,4241.0,24.0,0<=X<200
k217,<100,new car,2775.0,18.0,no checking
k141,<100,business,3863.0,24.0,no checking
k84,<100,radio/tv,2329.0,7.0,0<=X<200
k439,<100,furniture/equipment,918.0,9.0,0<=X<200
k87,<100,education,1837.0,24.0,0<=X<200
k17,<100,furniture/equipment,3349.0,36.0,no checking
k327,<100,furniture/equipment,1275.0,10.0,>=200
k941,500<=X<1000,furniture/equipment,2828.0,24.0,<0
k378,<100,business,4526.0,24.0,no checking
k569,100<=X<500,radio/tv,2671.0,36.0,0<=X<200
k767,<100,radio/tv,2051.0,18.0,no checking
k314,no known savings,used car,1300.0,15.0,no checking
k158,100<=X<500,domestic appliance,741.0,12.0,<0
k541,100<=X<500,new car,1240.0,10.0,>=200
k795,>=1000,radio/tv,3357.0,21.0,<0
k122,<100,used car,3632.0,24.0,<0
k467,<100,furniture/equipment,1808.0,18.0,no checking
k385,no known savings,business,12204.0,48.0,0<=X<200
k976,no known savings,radio/tv,9157.0,60.0,0<=X<200
k375,<100,new car,3676.0,6.0,<0
k587,100<=X<500,furniture/equipment,3441.0,30.0,0<=X<200
k567,<100,new car,640.0,12.0,no checking
k589,<100,business,3652.0,21.0,0<=X<200
k881,<100,new car,1530.0,18.0,no checking
k223,no known savings,business,3914.0,48.0,no checking
k12,<100,furniture/equipment,1858.0,12.0,<0
k663,<100,radio/tv,2600.0,18.0,<0
k155,no known savings,radio/tv,1979.0,15.0,no checking
k873,<100,furniture/equipment,2116.0,6.0,>=200
k423,100<=X<500,new car,1437.0,9.0,0<=X<200
k209,500<=X<1000,furniture/equipment,4042.0,42.0,no checking
k805,no known savings,education,3832.0,9.0,no checking
k540,<100,radio/tv,3660.0,24.0,<0
k895,<100,furniture/equipment,1553.0,18.0,<0
k647,no known savings,radio/tv,1444.0,15.0,0<=X<200
k389,<100,furniture/equipment,1980.0,9.0,no checking
k934,<100,new car,1355.0,24.0,0<=X<200
k531,<100,education,1393.0,12.0,no checking
k446,500<=X<1000,radio/tv,1376.0,24.0,no checking
k418,<100,radio/tv,15653.0,60.0,no checking
k255,<100,radio/tv,1493.0,12.0,no checking
k571,<100,radio/tv,4370.0,42.0,<0
k754,<100,education,750.0,18.0,<0
k524,<100,repairs,1308.0,15.0,0<=X<200
k769,100<=X<500,education,4623.0,15.0,no checking
k104,<100,radio/tv,1851.0,24.0,no checking
k237,<100,radio/tv,1880.0,18.0,<0
k470,no known savings,business,7980.0,36.0,no checking
k241,<100,furniture/equipment,4583.0,30.0,<0
k675,500<=X<1000,new car,1386.0,12.0,no checking
k98,<100,new car,947.0,24.0,>=200
k368,<100,education,684.0,12.0,<0
k991,<100,education,7476.0,48.0,<0
k464,<100,furniture/equipment,1922.0,12.0,0<=X<200
k330,<100,new car,2303.0,24.0,<0
k228,100<=X<500,new car,8086.0,36.0,0<=X<200
k636,<100,used car,2346.0,24.0,no checking
k570,<100,new car,3973.0,14.0,<0
k63,<100,new car,888.0,12.0,0<=X<200
k753,no known savings,radio/tv,10222.0,48.0,no checking
k548,<100,business,4221.0,30.0,0<=X<200
k730,<100,furniture/equipment,6361.0,18.0,0<=X<200
k345,<100,radio/tv,1297.0,12.0,>=200
k183,no known savings,new car,900.0,12.0,<0
k669,<100,furniture/equipment,2241.0,21.0,no checking
k945,<100,furniture/equipment,1050.0,6.0,0<=X<200
k682,<100,education,1047.0,6.0,>=200
k720,<100,other,6314.0,24.0,no checking
k528,>=1000,furniture/equipment,3496.0,30.0,0<=X<200
k94,<100,business,3609.0,48.0,no checking
k71,<100,new car,4843.0,12.0,<0
k289,<100,radio/tv,3017.0,30.0,>=200
k748,100<=X<500,business,4139.0,24.0,no checking
k902,100<=X<500,business,5742.0,36.0,no checking
k440,<100,new car,10366.0,60.0,no checking
k814,500<=X<1000,new car,2080.0,6.0,no checking
k718,500<=X<1000,business,2580.0,21.0,no checking
k62,<100,radio/tv,4530.0,30.0,no checking
k171,<100,furniture/equipment,5150.0,24.0,no checking
k226,100<=X<500,radio/tv,5595.0,72.0,0<=X<200
k478,<100,radio/tv,2384.0,24.0,<0
k413,<100,radio/tv,1453.0,18.0,no checking
k40,<100,education,1538.0,6.0,no checking
k505,no known savings,radio/tv,2279.0,12.0,no checking
k395,<100,radio/tv,1478.0,15.0,no checking
k951,<100,radio/tv,5103.0,24.0,no checking
k683,100<=X<500,business,9857.0,36.0,0<=X<200
k239,no known savings,new car,6527.0,60.0,no checking
k1,no known savings,radio/tv,1347.0,10.0,>=200
k336,100<=X<500,new car,2862.0,36.0,0<=X<200
k930,100<=X<500,radio/tv,2753.0,9.0,no checking
k892,>=1000,new car,3651.0,12.0,<0
k46,<100,furniture/equipment,975.0,15.0,<0
k736,100<=X<500,repairs,2631.0,15.0,0<=X<200
k852,100<=X<500,radio/tv,2896.0,24.0,0<=X<200
k716,no known savings,new car,4716.0,6.0,<0
k823,<100,radio/tv,2284.0,24.0,no checking
k243,500<=X<1000,used car,1236.0,6.0,no checking
k828,<100,radio/tv,1103.0,12.0,0<=X<200
k503,<100,new car,926.0,12.0,no checking
k39,<100,radio/tv,1800.0,18.0,no checking
k205,<100,education,1905.0,15.0,>=200
k668,500<=X<1000,furniture/equipment,1123.0,12.0,no checking
k529,<100,used car,6331.0,48.0,<0
k573,100<=X<500,radio/tv,1377.0,24.0,>=200
k922,100<=X<500,business,2503.0,30.0,0<=X<200
k326,<100,business,2528.0,27.0,0<=X<200
k273,500<=X<1000,new car,5324.0,15.0,no checking
k641,100<=X<500,new car,6560.0,48.0,0<=X<200
k316,<100,furniture/equipment,2969.0,12.0,0<=X<200
k119,<100,radio/tv,1206.0,9.0,0<=X<200
k256,<100,radio/tv,2118.0,9.0,0<=X<200
k89,500<=X<1000,radio/tv,629.0,18.0,no checking
k495,<100,education,1198.0,6.0,<0
k983,no known savings,used car,2476.0,21.0,no checking
k393,<100,radio/tv,1138.0,9.0,<0
k868,<100,new car,14027.0,60.0,0<=X<200
k110,no known savings,used car,7596.0,30.0,no checking
k134,no known savings,radio/tv,3077.0,30.0,no checking
k723,<100,radio/tv,1505.0,18.0,no checking
k412,no known savings,radio/tv,3148.0,24.0,>=200
k4,100<=X<500,used car,6148.0,20.0,0<=X<200
k318,<100,radio/tv,1337.0,9.0,>=200
k408,>=1000,education,433.0,6.0,0<=X<200
k260,<100,new car,1228.0,12.0,<0
k621,500<=X<1000,radio/tv,790.0,9.0,0<=X<200
k582,<100,new car,2570.0,27.0,no checking
k85,>=1000,new car,250.0,6.0,no checking
k485,500<=X<1000,radio/tv,1316.0,15.0,no checking
k657,<100,radio/tv,1882.0,18.0,<0
k666,<100,business,6416.0,48.0,0<=X<200
k288,>=1000,business,1275.0,24.0,>=200
k325,<100,radio/tv,6403.0,24.0,0<=X<200
k798,<100,radio/tv,1987.0,24.0,<0
k510,<100,radio/tv,760.0,8.0,0<=X<200
k95,>=1000,used car,2603.0,24.0,no checking
k624,<100,new car,3380.0,4.0,no checking
k322,no known savings,domestic appliance,3990.0,36.0,0<=X<200
k79,<100,used car,11560.0,24.0,0<=X<200
k549,100<=X<500,new car,4380.0,18.0,<0
k83,<100,new car,6761.0,6.0,no checking
k136,100<=X<500,business,4280.0,30.0,0<=X<200
k224,100<=X<500,new car,2325.0,24.0,<0
k150,<100,radio/tv,1048.0,10.0,0<=X<200
k522,no known savings,radio/tv,3160.0,21.0,no checking
k883,500<=X<1000,furniture/equipment,2483.0,24.0,<0
k888,no known savings,furniture/equipment,14179.0,39.0,<0
k472,<100,business,1797.0,13.0,<0
k469,<100,new car,2511.0,15.0,<0
k955,<100,new car,1274.0,12.0,<0
k704,no known savings,used car,5248.0,21.0,no checking
k943,<100,used car,3029.0,15.0,no checking
k101,<100,furniture/equipment,428.0,6.0,<0
k132,<100,new car,976.0,18.0,<0
k126,100<=X<500,business,841.0,12.0,0<=X<200
k773,<100,radio/tv,5771.0,30.0,no checking
k784,>=1000,repairs,1555.0,12.0,no checking
k476,no known savings,new car,1285.0,24.0,<0
k779,<100,new car,1299.0,6.0,>=200
k715,no known savings,radio/tv,1271.0,15.0,>=200
k146,<100,new car,1393.0,24.0,no checking
k187,<100,new car,691.0,12.0,<0
k82,no known savings,new car,5045.0,15.0,no checking
k521,<100,furniture/equipment,2124.0,18.0,<0
k577,<100,radio/tv,2214.0,12.0,<0
k520,no known savings,new car,12680.0,21.0,no checking
k989,100<=X<500,new car,2463.0,24.0,no checking
k410,<100,radio/tv,1155.0,12.0,0<=X<200
k831,<100,furniture/equipment,3108.0,30.0,<0
k235,no known savings,used car,2901.0,10.0,no checking
k21,<100,furniture/equipment,3617.0,12.0,0<=X<200
k466,<100,radio/tv,1655.0,12.0,no checking
k861,no known savings,used car,2812.0,24.0,<0
k575,<100,education,8065.0,36.0,<0
k29,<100,used car,3275.0,21.0,no checking
k690,100<=X<500,radio/tv,2223.0,24.0,no checking
k534,500<=X<1000,new car,1480.0,12.0,>=200
k391,no known savings,new car,1371.0,24.0,<0
k488,<100,new car,3535.0,36.0,no checking
k455,<100,radio/tv,3509.0,18.0,<0
k659,>=1000,used car,5711.0,36.0,no checking
k584,<100,repairs,3872.0,18.0,0<=X<200
k452,<100,radio/tv,4933.0,39.0,0<=X<200
k121,>=1000,new car,1940.0,24.0,no checking
k0,<100,retraining,1410.0,12.0,0<=X<200
k804,100<=X<500,new car,836.0,12.0,0<=X<200
k259,no known savings,used car,6468.0,20.0,0<=X<200
k885,>=1000,business,1941.0,18.0,0<=X<200
k851,500<=X<1000,radio/tv,2675.0,22.0,no checking
k956,no known savings,used car,2751.0,48.0,no checking
k340,<100,education,6224.0,48.0,0<=X<200
k112,<100,education,5998.0,40.0,<0
k546,<100,business,1188.0,21.0,0<=X<200
k791,no known savings,used car,6313.0,24.0,no checking
k245,no known savings,furniture/equipment,1221.0,6.0,no checking
k950,<100,furniture/equipment,2892.0,24.0,>=200
k911,500<=X<1000,furniture/equipment,3062.0,24.0,no checking
k802,100<=X<500,furniture/equipment,2301.0,9.0,no checking
k590,no known savings,used car,7511.0,18.0,<0
k909,<100,furniture/equipment,1258.0,12.0,no checking
k262,no known savings,new car,717.0,24.0,no checking
k900,no known savings,new car,1549.0,9.0,0<=X<200
k651,<100,education,1597.0,24.0,no checking
k15,<100,radio/tv,1795.0,18.0,0<=X<200
k699,<100,furniture/equipment,4272.0,20.0,<0
k278,no known savings,radio/tv,976.0,12.0,no checking
k611,no known savings,new car,7472.0,12.0,0<=X<200
k117,<100,new car,9271.0,36.0,<0
k343,<100,radio/tv,590.0,6.0,0<=X<200
k853,no known savings,radio/tv,930.0,12.0,no checking
k515,<100,used car,9283.0,42.0,0<=X<200
k72,<100,new car,1778.0,15.0,0<=X<200
k799,<100,business,907.0,8.0,0<=X<200
k460,<100,radio/tv,484.0,6.0,0<=X<200
k733,<100,used car,9629.0,36.0,<0
k618,<100,domestic appliance,3051.0,48.0,<0
k740,<100,new car,3931.0,48.0,<0
k421,<100,new car,7432.0,36.0,0<=X<200
k438,500<=X<1000,domestic appliance,1338.0,6.0,no checking
k186,<100,radio/tv,1554.0,6.0,no checking
k564,<100,other,15857.0,36.0,<0
k711,<100,radio/tv,1345.0,18.0,<0
k388,<100,new car,1101.0,12.0,no checking
k447,<100,radio/tv,3016.0,12.0,>=200
k427,<100,furniture/equipment,2712.0,36.0,<0
k514,<100,new car,731.0,8.0,<0
k623,<100,furniture/equipment,3780.0,18.0,no checking
k921,<100,new car,1602.0,21.0,<0
k782,<100,new car,3966.0,18.0,<0
k206,<100,business,4165.0,18.0,no checking
k626,no known savings,used car,8335.0,36.0,<0
k579,no known savings,business,6681.0,48.0,0<=X<200
k875,500<=X<1000,business,2375.0,24.0,no checking
k190,<100,new car,1216.0,18.0,<0
k496,<100,business,11816.0,45.0,<0
k493,no known savings,radio/tv,5084.0,24.0,0<=X<200
k756,<100,radio/tv,2327.0,15.0,>=200
k612,<100,new car,1082.0,12.0,<0
k650,no known savings,radio/tv,886.0,12.0,no checking
k971,<100,furniture/equipment,601.0,4.0,no checking
k654,<100,used car,2957.0,24.0,<0
k705,<100,radio/tv,2611.0,24.0,no checking
k371,<100,furniture/equipment,5179.0,36.0,<0
k459,<100,used car,2993.0,21.0,no checking
k926,<100,repairs,1943.0,18.0,no checking
k914,<100,business,1559.0,24.0,no checking
k166,<100,furniture/equipment,3422.0,18.0,no checking
k196,no known savings,furniture/equipment,3976.0,21.0,0<=X<200
k250,no known savings,new car,6761.0,18.0,no checking
k972,<100,new car,1249.0,24.0,no checking
k742,<100,radio/tv,1364.0,9.0,<0
k384,<100,radio/tv,709.0,12.0,<0
k353,<100,new car,2235.0,20.0,<0
k557,no known savings,used car,4042.0,24.0,no checking
k947,<100,radio/tv,1471.0,15.0,no checking
k694,<100,new car,1442.0,18.0,<0
k168,<100,new car,10875.0,36.0,no checking
k562,100<=X<500,new car,1474.0,24.0,no checking
k358,no known savings,retraining,894.0,10.0,no checking
k876,<100,furniture/equipment,3343.0,15.0,no checking
k837,<100,new car,3959.0,15.0,<0
k463,100<=X<500,new car,3577.0,9.0,no checking
k244,>=1000,used car,5804.0,24.0,no checking
k342,<100,business,2169.0,18.0,no checking
k135,<100,radio/tv,2439.0,24.0,<0
k35,>=1000,furniture/equipment,4526.0,27.0,no checking
k36,<100,furniture/equipment,2210.0,10.0,no checking
k949,500<=X<1000,furniture/equipment,2221.0,15.0,no checking
k653,<100,radio/tv,2389.0,18.0,<0
k916,<100,furniture/equipment,3331.0,12.0,no checking
k899,no known savings,business,7409.0,36.0,no checking
k967,<100,furniture/equipment,652.0,12.0,<0
k525,500<=X<1000,furniture/equipment,7678.0,36.0,no checking
k131,<100,new car,1343.0,6.0,>=200
k213,100<=X<500,business,1382.0,24.0,<0
k685,no known savings,domestic appliance,874.0,15.0,no checking
k555,<100,furniture/equipment,3590.0,12.0,<0
k777,>=1000,new car,1322.0,11.0,0<=X<200
k869,<100,radio/tv,1940.0,18.0,<0
k961,<100,radio/tv,3595.0,36.0,no checking
k492,<100,new car,1422.0,9.0,<0
k929,no known savings,radio/tv,6742.0,30.0,no checking
k61,<100,used car,7814.0,24.0,no checking
k813,no known savings,used car,9277.0,24.0,no checking
k301,no known savings,new car,2181.0,30.0,0<=X<200
k97,<100,radio/tv,1098.0,18.0,no checking
k70,<100,furniture/equipment,4057.0,24.0,0<=X<200
k698,<100,education,795.0,12.0,<0
k592,no known savings,business,2825.0,24.0,0<=X<200
k54,<100,business,15672.0,48.0,0<=X<200
k100,<100,new car,6614.0,36.0,no checking
k610,no known savings,used car,7824.0,28.0,no checking
k400,<100,business,2442.0,27.0,<0
k762,<100,radio/tv,1829.0,15.0,no checking
k952,<100,new car,2171.0,12.0,<0
k632,<100,used car,5800.0,36.0,0<=X<200
k996,no known savings,radio/tv,1169.0,18.0,no checking
k994,no known savings,used car,8947.0,36.0,no checking
k276,<100,radio/tv,2606.0,21.0,<0
k179,>=1000,furniture/equipment,1592.0,12.0,no checking
k613,no known savings,furniture/equipment,2186.0,15.0,no checking
k487,<100,furniture/equipment,4153.0,18.0,<0
k630,<100,new car,2625.0,16.0,<0
k719,no known savings,new car,3485.0,20.0,no checking
k116,no known savings,used car,10477.0,36.0,no checking
k614,no known savings,radio/tv,1386.0,15.0,no checking
k691,<100,radio/tv,1278.0,24.0,no checking
k908,<100,radio/tv,1107.0,12.0,<0
k523,no known savings,new car,3763.0,21.0,<0
k251,no known savings,education,3711.0,36.0,0<=X<200
k701,<100,used car,3594.0,15.0,no checking
k844,no known savings,new car,3195.0,9.0,0<=X<200
k998,<100,radio/tv,4454.0,36.0,no checking
k34,<100,furniture/equipment,4736.0,24.0,0<=X<200
k197,no known savings,radio/tv,2991.0,30.0,0<=X<200
k509,>=1000,business,2142.0,11.0,no checking
k56,<100,business,3161.0,24.0,<0
k928,<100,other,18424.0,48.0,0<=X<200
k279,100<=X<500,used car,2848.0,10.0,no checking
k713,<100,new car,14896.0,6.0,<0
k891,100<=X<500,furniture/equipment,2359.0,24.0,<0
k108,<100,furniture/equipment,3345.0,24.0,<0
k192,<100,furniture/equipment,1817.0,18.0,no checking
k732,500<=X<1000,radio/tv,12749.0,48.0,no checking
k307,<100,radio/tv,1366.0,9.0,<0
k846,<100,new car,2002.0,12.0,0<=X<200
k764,<100,furniture/equipment,6872.0,24.0,<0
k266,<100,new car,697.0,12.0,<0
k453,<100,furniture/equipment,1049.0,18.0,<0
k504,<100,used car,10297.0,48.0,<0
k635,no known savings,radio/tv,1867.0,30.0,no checking
k725,<100,new car,1344.0,12.0,<0
k18,<100,furniture/equipment,1747.0,24.0,<0
k373,<100,radio/tv,1670.0,9.0,0<=X<200
k338,<100,new car,1224.0,9.0,no checking
k59,500<=X<1000,radio/tv,522.0,12.0,no checking
k997,<100,radio/tv,1498.0,12.0,<0
k491,100<=X<500,radio/tv,1919.0,30.0,0<=X<200
k794,<100,radio/tv,745.0,9.0,>=200
k608,<100,radio/tv,2063.0,6.0,0<=X<200
k687,<100,education,6288.0,60.0,0<=X<200
k678,no known savings,used car,6842.0,24.0,no checking
k474,no known savings,new car,3527.0,12.0,no checking
k863,<100,new car,1546.0,10.0,no checking
k169,no known savings,furniture/equipment,929.0,24.0,no checking
k743,<100,new car,1455.0,4.0,no checking
k689,<100,furniture/equipment,1845.0,15.0,<0
k60,500<=X<1000,new car,8358.0,48.0,0<=X<200
k489,500<=X<1000,furniture/equipment,3349.0,24.0,<0
k484,no known savings,new car,2859.0,12.0,no checking
k749,<100,furniture/equipment,1533.0,18.0,no checking
k857,100<=X<500,radio/tv,3621.0,24.0,no checking
k369,<100,business,3590.0,18.0,0<=X<200
k199,<100,business,2145.0,36.0,<0
k780,500<=X<1000,used car,4113.0,24.0,0<=X<200
k51,<100,furniture/equipment,10974.0,36.0,no checking
k490,<100,new car,1893.0,12.0,<0
k77,>=1000,radio/tv,1231.0,24.0,<0
k444,no known savings,radio/tv,3656.0,30.0,>=200
k561,<100,radio/tv,1154.0,9.0,0<=X<200
k508,<100,new car,4006.0,28.0,<0
k201,100<=X<500,furniture/equipment,3069.0,24.0,0<=X<200
k581,<100,radio/tv,1740.0,6.0,no checking
k507,<100,new car,2353.0,21.0,0<=X<200
k398,no known savings,new car,3556.0,15.0,no checking
k204,500<=X<1000,radio/tv,2397.0,24.0,no checking
k910,<100,repairs,454.0,6.0,0<=X<200
k880,no known savings,radio/tv,1715.0,30.0,0<=X<200
k518,500<=X<1000,radio/tv,2520.0,27.0,0<=X<200
k346,<100,radio/tv,3568.0,15.0,no checking
k458,no known savings,radio/tv,7166.0,42.0,no checking
k940,<100,new car,3939.0,11.0,<0
k811,100<=X<500,repairs,1514.0,15.0,0<=X<200
k498,<100,new car,7393.0,24.0,no checking
k648,<100,new car,1193.0,24.0,<0
k80,<100,business,7297.0,60.0,<0
k695,<100,radio/tv,2831.0,30.0,no checking
k441,500<=X<1000,radio/tv,1258.0,24.0,>=200
k157,<100,radio/tv,753.0,6.0,0<=X<200
k128,no known savings,business,2427.0,18.0,0<=X<200
k88,<100,new car,2538.0,24.0,no checking
k211,100<=X<500,new car,1264.0,15.0,0<=X<200
k397,<100,furniture/equipment,8386.0,30.0,0<=X<200
k328,<100,business,4844.0,48.0,no checking
k596,100<=X<500,new car,2923.0,21.0,>=200
k835,<100,used car,8229.0,36.0,<0
k676,<100,furniture/equipment,2028.0,24.0,no checking
k242,<100,furniture/equipment,1433.0,15.0,<0
k164,<100,business,6289.0,42.0,>=200
k735,100<=X<500,radio/tv,1409.0,13.0,no checking
k903,<100,used car,6579.0,24.0,<0
k644,<100,radio/tv,1743.0,24.0,0<=X<200
k829,no known savings,education,3565.0,12.0,no checking
k198,100<=X<500,radio/tv,1569.0,15.0,no checking
k348,no known savings,radio/tv,1936.0,18.0,<0
k31,<100,furniture/equipment,3959.0,36.0,<0
k394,no known savings,new car,2390.0,12.0,no checking
k783,<100,furniture/equipment,1736.0,12.0,no checking
k479,<100,used car,3857.0,30.0,<0
k481,<100,radio/tv,804.0,12.0,no checking
k808,<100,radio/tv,1845.0,45.0,<0
k672,100<=X<500,used car,4576.0,45.0,0<=X<200
