Key_0_0,housing,other_parties,job,Key_1_1
k52,rent,none,skilled,k364
k890,rent,none,skilled,k728
k958,own,none,skilled,k490
k319,own,none,unskilled resident,k762
k326,own,none,skilled,k63
k594,own,none,skilled,k322
k621,rent,none,unskilled resident,k277
k513,own,none,skilled,k55
k956,own,co applicant,skilled,k955
k310,own,none,skilled,k759
k1,own,none,unskilled resident,k237
k587,own,none,skilled,k454
k781,own,none,skilled,k75
k806,own,none,skilled,k586
k563,own,none,skilled,k789
k768,rent,none,skilled,k698
k350,own,none,skilled,k413
k36,own,none,skilled,k442
k645,own,none,unskilled resident,k790
k412,rent,guarantor,skilled,k660
k119,own,none,skilled,k264
k46,for free,none,skilled,k579
k349,for free,none,unskilled resident,k132
k222,own,none,skilled,k650
k490,own,none,skilled,k819
k459,own,none,skilled,k738
k924,for free,none,skilled,k166
k799,own,none,skilled,k484
k15,rent,guarantor,skilled,k661
k251,own,none,skilled,k612
k830,own,none,skilled,k276
k707,own,none,skilled,k125
k872,own,none,unskilled resident,k314
k218,rent,none,unskilled resident,k938
k422,rent,none,skilled,k510
k264,own,none,skilled,k836
k744,own,none,skilled,k552
k38,own,none,skilled,k785
k398,rent,none,skilled,k489
k238,own,none,skilled,k963
k813,own,none,skilled,k779
k689,own,none,skilled,k474
k901,own,none,skilled,k802
k475,own,co applicant,unskilled resident,k363
k63,own,none,skilled,k73
k578,for free,co applicant,high qualif/self emp/mgmt,k332
k346,own,none,skilled,k730
k212,for free,none,high qualif/self emp/mgmt,k939
k484,own,none,skilled,k329
k295,own,none,high qualif/self emp/mgmt,k841
k822,for free,none,skilled,k369
k817,own,none,skilled,k209
k84,own,none,unemp/unskilled non res,k108
k327,own,none,skilled,k670
k382,own,none,skilled,k259
k65,own,none,skilled,k602
k230,own,none,skilled,k975
k48,own,none,high qualif/self emp/mgmt,k437
k409,rent,guarantor,skilled,k598
k354,own,none,high qualif/self emp/mgmt,k927
k276,own,none,skilled,k274
k913,own,none,unskilled resident,k61
k630,own,none,skilled,k453
k302,own,none,skilled,k547
k603,own,none,high qualif/self emp/mgmt,k935
k838,rent,none,high qualif/self emp/mgmt,k780
k511,own,none,skilled,k107
k557,rent,none,unskilled resident,k462
k800,own,co applicant,skilled,k845
k253,rent,guarantor,skilled,k341
k671,own,none,skilled,k241
k312,for free,none,skilled,k488
k820,rent,none,skilled,k741
k950,own,none,high qualif/self emp/mgmt,k97
k181,rent,none,high qualif/self emp/mgmt,k32
k887,own,co applicant,unskilled resident,k625
k478,own,none,skilled,k652
k270,own,none,unskilled resident,k965
k68,own,none,unskilled resident,k487
k756,own,none,skilled,k962
k343,own,none,unskilled resident,k763
k605,own,none,skilled,k685
k182,own,none,skilled,k827
k204,rent,none,skilled,k104
k388,own,none,high qualif/self emp/mgmt,k204
k455,own,co applicant,skilled,k5
k868,own,none,high qualif/self emp/mgmt,k82
k406,own,none,skilled,k139
k667,rent,none,high qualif/self emp/mgmt,k492
k47,own,none,skilled,k969
k590,own,none,high qualif/self emp/mgmt,k889
k725,rent,none,skilled,k430
k95,rent,none,skilled,k92
k356,own,none,skilled,k294
k833,own,none,skilled,k449
k39,rent,none,skilled,k11
k189,for free,none,skilled,k865
k508,own,none,skilled,k198
k677,own,none,unskilled resident,k782
k418,own,co applicant,unskilled resident,k317
k777,own,none,skilled,k149
k423,own,none,skilled,k926
k9,own,none,skilled,k569
k869,own,none,skilled,k48
k706,own,none,high qualif/self emp/mgmt,k42
k454,own,none,unskilled resident,k287
k774,rent,none,high qualif/self emp/mgmt,k958
k121,for free,none,skilled,k560
k488,own,none,high qualif/self emp/mgmt,k159
k582,own,none,high qualif/self emp/mgmt,k610
k856,own,none,unskilled resident,k758
k826,own,none,skilled,k761
k303,own,none,unskilled resident,k182
k705,rent,guarantor,skilled,k734
k387,own,none,skilled,k724
k510,for free,none,skilled,k424
k243,own,none,high qualif/self emp/mgmt,k358
k389,own,co applicant,unskilled resident,k263
k919,own,none,skilled,k704
k880,own,none,unemp/unskilled non res,k596
k338,own,none,skilled,k325
k351,rent,none,skilled,k401
k313,own,none,high qualif/self emp/mgmt,k164
k217,own,guarantor,skilled,k970
k102,rent,none,high qualif/self emp/mgmt,k675
k857,own,none,unskilled resident,k354
k626,own,none,unskilled resident,k833
k502,own,none,unskilled resident,k885
k884,for free,none,skilled,k147
k669,rent,none,skilled,k326
k983,own,none,skilled,k672
k960,own,none,skilled,k291
k324,own,none,skilled,k997
k108,own,none,unskilled resident,k138
k129,own,none,skilled,k226
k128,own,none,unskilled resident,k627
k262,rent,none,high qualif/self emp/mgmt,k740
k93,rent,none,skilled,k254
k757,own,none,unskilled resident,k249
k383,own,guarantor,skilled,k709
k715,own,none,unskilled resident,k557
k328,rent,co applicant,unemp/unskilled non res,k847
k366,rent,co applicant,skilled,k186
k66,own,none,skilled,k843
k815,own,none,unskilled resident,k37
k194,own,guarantor,skilled,k127
k141,own,none,skilled,k676
k381,own,none,unskilled resident,k615
k577,rent,none,skilled,k531
k83,own,none,skilled,k312
k14,rent,none,high qualif/self emp/mgmt,k174
k165,own,none,high qualif/self emp/mgmt,k207
k246,own,none,skilled,k469
k937,own,none,unskilled resident,k134
k202,rent,none,skilled,k396
k699,own,none,skilled,k528
k53,own,none,skilled,k168
k980,for free,none,high qualif/self emp/mgmt,k100
k257,own,none,unskilled resident,k992
k746,own,none,unskilled resident,k769
k533,own,none,unskilled resident,k696
k619,rent,none,unskilled resident,k80
k443,own,none,high qualif/self emp/mgmt,k440
k96,own,none,skilled,k465
k612,own,none,unskilled resident,k713
k476,own,none,high qualif/self emp/mgmt,k70
k829,own,none,skilled,k406
k559,for free,none,skilled,k167
k801,own,none,skilled,k846
