Key_0_0,own_telephone,existing_credits,other_payment_plans,Key_1_2
k217,yes,1.0,none,k490
k102,yes,2.0,none,k77
k857,none,2.0,stores,k444
k626,none,3.0,none,k561
k502,none,1.0,none,k508
k884,none,1.0,none,k201
k669,none,2.0,none,k581
k983,none,2.0,none,k507
k960,none,1.0,none,k398
k324,yes,2.0,bank,k204
k108,none,1.0,none,k910
k129,none,1.0,none,k880
k128,none,2.0,none,k518
k262,yes,1.0,bank,k346
k93,yes,1.0,none,k458
k757,none,2.0,none,k940
k383,none,1.0,none,k811
k715,none,1.0,none,k498
k328,none,2.0,none,k648
k366,none,1.0,none,k80
k66,yes,1.0,none,k695
k815,none,1.0,none,k441
k194,none,1.0,none,k157
k141,none,2.0,none,k128
k381,none,2.0,none,k88
k577,none,1.0,none,k211
k83,none,1.0,none,k397
k14,yes,1.0,bank,k328
k165,yes,1.0,bank,k596
k246,none,1.0,none,k835
k937,none,2.0,none,k676
k202,none,2.0,none,k242
k699,none,2.0,none,k164
k53,none,1.0,none,k735
k980,yes,1.0,none,k903
k257,none,2.0,none,k644
k746,none,2.0,none,k829
k533,none,1.0,bank,k198
k619,none,2.0,none,k348
k443,yes,1.0,none,k31
k96,yes,1.0,none,k394
k612,none,1.0,none,k783
k476,yes,1.0,none,k479
k829,none,1.0,none,k481
k559,yes,1.0,none,k808
k801,none,1.0,none,k672
