Key_1_1,personal_status,age,credit_history
k855,female div/dep/mar,23.0,existing paid
k952,female div/dep/mar,37.0,existing paid
k943,male single,26.0,existing paid
k778,male single,33.0,existing paid
k614,female div/dep/mar,49.0,existing paid
k717,female div/dep/mar,23.0,existing paid
k300,female div/dep/mar,23.0,existing paid
k480,female div/dep/mar,25.0,critical/other existing credit
k299,male single,55.0,delayed previously
k643,female div/dep/mar,32.0,existing paid
k934,male single,74.0,critical/other existing credit
k655,male single,39.0,critical/other existing credit
k345,male single,31.0,existing paid
k861,male single,35.0,critical/other existing credit
k559,female div/dep/mar,59.0,critical/other existing credit
k272,female div/dep/mar,24.0,critical/other existing credit
k708,male single,24.0,existing paid
k622,male single,30.0,critical/other existing credit
k30,male mar/wid,27.0,critical/other existing credit
k468,male mar/wid,40.0,existing paid
k681,male div/sep,31.0,existing paid
k689,female div/dep/mar,31.0,existing paid
k964,male single,28.0,critical/other existing credit
k388,male single,63.0,critical/other existing credit
k854,female div/dep/mar,26.0,existing paid
k611,female div/dep/mar,25.0,critical/other existing credit
k620,male single,36.0,critical/other existing credit
k205,male single,52.0,critical/other existing credit
k290,male single,66.0,critical/other existing credit
k410,female div/dep/mar,25.0,existing paid
k435,male single,37.0,critical/other existing credit
k543,female div/dep/mar,25.0,existing paid
k243,male single,38.0,critical/other existing credit
k427,female div/dep/mar,67.0,existing paid
k196,male single,25.0,critical/other existing credit
k863,male single,60.0,critical/other existing credit
k146,male single,31.0,no credits/all paid
k279,female div/dep/mar,23.0,existing paid
k921,male div/sep,60.0,existing paid
k232,male single,35.0,existing paid
k229,male single,40.0,existing paid
k393,male single,38.0,critical/other existing credit
k891,male single,50.0,delayed previously
k711,male single,27.0,critical/other existing credit
k810,female div/dep/mar,39.0,existing paid
k224,male single,41.0,existing paid
k651,male mar/wid,27.0,critical/other existing credit
k582,male div/sep,51.0,existing paid
k640,male single,32.0,existing paid
k575,female div/dep/mar,22.0,existing paid
k568,male single,51.0,existing paid
k373,female div/dep/mar,22.0,critical/other existing credit
k313,male mar/wid,54.0,delayed previously
k268,male single,35.0,existing paid
k397,male single,54.0,critical/other existing credit
k914,female div/dep/mar,48.0,critical/other existing credit
k628,female div/dep/mar,24.0,critical/other existing credit
k574,male single,35.0,critical/other existing credit
k931,female div/dep/mar,24.0,existing paid
k945,male single,24.0,existing paid
k571,male mar/wid,26.0,existing paid
k973,male single,65.0,critical/other existing credit
k212,male single,55.0,all paid
k311,female div/dep/mar,26.0,no credits/all paid
k79,male mar/wid,26.0,existing paid
k516,male mar/wid,28.0,existing paid
k360,male single,24.0,critical/other existing credit
k619,male single,54.0,existing paid
k716,male single,46.0,existing paid
k995,female div/dep/mar,54.0,delayed previously
k618,male div/sep,62.0,existing paid
k432,female div/dep/mar,24.0,critical/other existing credit
k71,male div/sep,43.0,existing paid
k41,male mar/wid,26.0,existing paid
k451,male mar/wid,27.0,existing paid
k62,male mar/wid,24.0,existing paid
k292,male single,41.0,existing paid
k533,male single,47.0,critical/other existing credit
k809,male div/sep,35.0,critical/other existing credit
k804,male mar/wid,30.0,critical/other existing credit
k764,female div/dep/mar,33.0,critical/other existing credit
k507,male single,36.0,no credits/all paid
k985,male single,47.0,existing paid
k448,male single,38.0,delayed previously
k39,male single,44.0,delayed previously
k364,female div/dep/mar,23.0,existing paid
k728,male single,29.0,no credits/all paid
k490,female div/dep/mar,42.0,existing paid
k762,female div/dep/mar,25.0,existing paid
k63,male single,48.0,no credits/all paid
k322,female div/dep/mar,21.0,existing paid
k277,female div/dep/mar,23.0,existing paid
k55,male single,63.0,critical/other existing credit
k955,male mar/wid,46.0,critical/other existing credit
k759,male single,29.0,existing paid
k237,male single,28.0,delayed previously
k454,female div/dep/mar,23.0,existing paid
k75,male single,50.0,all paid
k586,male single,47.0,existing paid
k789,male single,35.0,existing paid
k698,male single,68.0,existing paid
k413,male mar/wid,28.0,existing paid
k442,male single,59.0,existing paid
k790,male single,57.0,existing paid
k660,male mar/wid,33.0,critical/other existing credit
k264,male single,43.0,critical/other existing credit
k579,male single,35.0,critical/other existing credit
k132,male single,32.0,all paid
k650,male single,45.0,delayed previously
k819,male mar/wid,33.0,existing paid
k738,female div/dep/mar,40.0,existing paid
k166,male single,28.0,critical/other existing credit
k484,female div/dep/mar,29.0,existing paid
k661,male single,26.0,existing paid
k612,male single,27.0,critical/other existing credit
k276,male mar/wid,28.0,delayed previously
k125,female div/dep/mar,35.0,existing paid
k314,male single,32.0,critical/other existing credit
k938,male single,25.0,existing paid
k510,female div/dep/mar,20.0,existing paid
k836,female div/dep/mar,27.0,existing paid
k552,male single,42.0,critical/other existing credit
k785,male single,37.0,existing paid
k489,female div/dep/mar,24.0,existing paid
k963,female div/dep/mar,40.0,delayed previously
k779,male single,46.0,critical/other existing credit
k474,male single,26.0,critical/other existing credit
k802,female div/dep/mar,24.0,existing paid
k363,male single,29.0,existing paid
k73,female div/dep/mar,40.0,critical/other existing credit
k332,male single,36.0,all paid
k730,male single,28.0,existing paid
k939,male single,27.0,existing paid
k329,male single,36.0,critical/other existing credit
k841,male single,38.0,existing paid
k369,male div/sep,48.0,existing paid
k209,male single,36.0,critical/other existing credit
k108,female div/dep/mar,65.0,critical/other existing credit
k670,male div/sep,43.0,existing paid
k259,female div/dep/mar,53.0,existing paid
k602,male single,34.0,critical/other existing credit
k975,male single,23.0,existing paid
k437,male single,34.0,critical/other existing credit
k598,male single,40.0,all paid
k927,male single,43.0,critical/other existing credit
k274,male single,46.0,critical/other existing credit
k61,male single,38.0,critical/other existing credit
k453,male single,34.0,critical/other existing credit
k547,male single,29.0,critical/other existing credit
k935,male single,31.0,delayed previously
k780,female div/dep/mar,28.0,existing paid
k107,female div/dep/mar,35.0,critical/other existing credit
k462,female div/dep/mar,33.0,existing paid
k845,male single,42.0,existing paid
k341,male single,43.0,critical/other existing credit
k241,male div/sep,44.0,critical/other existing credit
k488,male single,42.0,critical/other existing credit
k741,male mar/wid,40.0,existing paid
k97,male single,36.0,existing paid
k32,male single,20.0,existing paid
k625,male single,24.0,existing paid
k652,male mar/wid,27.0,existing paid
k965,female div/dep/mar,46.0,delayed previously
k487,female div/dep/mar,33.0,existing paid
k962,female div/dep/mar,34.0,delayed previously
k763,female div/dep/mar,25.0,critical/other existing credit
k685,female div/dep/mar,25.0,existing paid
k827,male div/sep,28.0,existing paid
k104,male single,31.0,all paid
k204,female div/dep/mar,32.0,no credits/all paid
k5,male single,32.0,existing paid
k82,male single,68.0,existing paid
k139,male div/sep,33.0,existing paid
k492,male single,39.0,existing paid
k969,female div/dep/mar,28.0,critical/other existing credit
k889,male single,37.0,delayed previously
k430,female div/dep/mar,22.0,existing paid
k92,male single,30.0,existing paid
k294,male div/sep,55.0,all paid
k449,male single,46.0,all paid
k11,female div/dep/mar,21.0,critical/other existing credit
k865,male single,39.0,existing paid
k198,male single,58.0,existing paid
k782,male single,43.0,delayed previously
k317,male single,24.0,existing paid
k149,female div/dep/mar,22.0,existing paid
k926,male single,30.0,critical/other existing credit
k569,male single,42.0,critical/other existing credit
k48,female div/dep/mar,23.0,existing paid
k42,male single,30.0,delayed previously
k287,female div/dep/mar,28.0,existing paid
k958,male mar/wid,30.0,existing paid
k560,male single,42.0,existing paid
k159,male single,46.0,critical/other existing credit
k610,male single,45.0,existing paid
k758,male single,31.0,existing paid
k761,male single,31.0,existing paid
k182,male single,42.0,critical/other existing credit
k734,female div/dep/mar,46.0,existing paid
k724,female div/dep/mar,30.0,no credits/all paid
k424,male single,30.0,all paid
k358,male single,38.0,existing paid
k263,male mar/wid,43.0,existing paid
k704,male single,31.0,existing paid
k596,male mar/wid,40.0,critical/other existing credit
k325,male single,24.0,delayed previously
k401,female div/dep/mar,28.0,existing paid
k164,female div/dep/mar,26.0,existing paid
k970,female div/dep/mar,29.0,existing paid
k675,female div/dep/mar,57.0,critical/other existing credit
k354,male single,49.0,critical/other existing credit
k833,male single,37.0,critical/other existing credit
k885,male single,45.0,existing paid
k147,male single,30.0,existing paid
k326,male mar/wid,30.0,critical/other existing credit
k672,male div/sep,47.0,delayed previously
k291,male single,29.0,existing paid
k997,male single,35.0,existing paid
k138,male mar/wid,22.0,existing paid
k226,female div/dep/mar,26.0,existing paid
k627,male single,23.0,critical/other existing credit
k740,female div/dep/mar,54.0,existing paid
k254,male mar/wid,29.0,existing paid
k249,male single,40.0,critical/other existing credit
k709,male single,22.0,existing paid
k557,male single,43.0,existing paid
k847,female div/dep/mar,29.0,all paid
k186,male single,36.0,existing paid
k843,female div/dep/mar,33.0,critical/other existing credit
k37,female div/dep/mar,57.0,existing paid
k127,female div/dep/mar,64.0,existing paid
k676,male single,42.0,delayed previously
k615,male single,47.0,delayed previously
k531,male mar/wid,25.0,all paid
k312,male single,49.0,critical/other existing credit
k174,male single,33.0,existing paid
k207,female div/dep/mar,28.0,existing paid
k469,male single,26.0,existing paid
k134,male single,30.0,critical/other existing credit
k396,female div/dep/mar,25.0,critical/other existing credit
k528,male div/sep,33.0,no credits/all paid
k168,female div/dep/mar,64.0,existing paid
k100,male single,29.0,existing paid
k992,male single,48.0,critical/other existing credit
k769,male single,37.0,critical/other existing credit
k696,male single,34.0,all paid
k80,male mar/wid,23.0,existing paid
k440,male single,30.0,existing paid
k465,male single,50.0,existing paid
k713,female div/dep/mar,31.0,existing paid
k70,male div/sep,40.0,existing paid
k406,male single,38.0,existing paid
k167,male single,23.0,existing paid
k846,male single,27.0,critical/other existing credit
